#,Feature,System Function,Description
1,Authentication,User Session Management,"Handles JWT access token issuance validation and session lifecycle for secure API access across Customer Provider and Admin roles."
2,Authentication,Login with Google Account,"Integrates with Google OAuth 2.0 to verify id_token and create or link user profiles for customer and provider sign-in."
3,Authentication,Role-Based Access Control,"Enforces role and account-status checks on protected API routes using middleware before business logic execution."
4,Reset Password,Email Notification System,"Sends automated OTP emails via SMTP when users request password reset and validates OTP before allowing password change."
5,Payment Processing,Payment Gateway Integration,"Creates PayOS payment links and QR codes for order deposits listing fees and processes payment status synchronization."
6,Payment Processing,PayOS Webhook Handler,"Receives and verifies PayOS webhook callbacks with HMAC signature validation and idempotently updates payment and order records."
7,Payment Processing,Refund Processing,"Processes customer refund requests and admin-approved refunds through PayOS with order and payment status updates."
8,Cloud Storage,Store Media on Supabase Storage,"Uploads and serves user avatars provider verification documents marketplace listing images and delivery proof photos via Supabase Storage buckets."
9,Maps and Location,Address Autocomplete and Geocoding,"Provides address search autocomplete and coordinate resolution using Google Maps API and OpenStreetMap Nominatim for booking flows."
10,Maps and Location,Distance and Route Calculation,"Calculates route distance travel time and estimated pricing inputs between pickup and delivery coordinates."
11,Notifications,In-App Notification Service,"Creates and stores in-app notifications for order updates marketplace events and admin alerts in the notifications table."
12,Notifications,Admin Broadcast Notification,"Allows administrators to create and publish system-wide or targeted announcements to platform users."
13,Real-Time Communication,Order Chat Message API,"Persists and retrieves chat messages between customer and provider for active transport orders via REST API."
14,Real-Time Communication,Marketplace Chat Message API,"Persists and retrieves negotiation messages between Pass đồ buyers and sellers including price proposals and deal context."
15,Order Management,Order Lifecycle Processing,"Manages order state transitions including create accept start complete cancel and links payments quotes and provider assignment."
16,Order Management,Provider Quotation Service,"Handles provider price quotes for quotation-based bookings and customer quote acceptance with schedule alignment."
17,Marketplace,Pass đồ Deal and Transport Linkage,"Manages listing interest deal confirmation transport-booked flag and order completion flow between C2C marketplace and transport booking."
18,Analytics,Usage and Revenue Analytics Collection,"Aggregates GMV revenue order statistics provider performance and commission metrics for the admin analytics dashboard."
19,Database,PostgreSQL Data Management,"Manages relational data through Supabase PostgreSQL including profiles orders payments marketplace listings and Row Level Security policies."
